iter	Passed	Remaining
946	1998	111
947	2002	109
948	2005	107
949	2016	106
950	2017	103
951	2017	101
952	2019	99
953	2020	97
954	2021	95
955	2021	93
956	2022	90
957	2027	88
958	2030	86
959	2032	84
960	2033	82
961	2035	80
962	2036	78
963	2040	76
964	2042	74
965	2043	71
966	2044	69
967	2045	67
968	2046	65
969	2047	63
970	2048	61
971	2049	59
972	2050	56
973	2050	54
974	2051	52
975	2053	50
976	2056	48
977	2057	46
978	2058	44
979	2061	42
980	2065	40
981	2071	37
982	2074	35
983	2076	33
984	2076	31
985	2077	29
986	2089	27
987	2090	25
988	2090	23
989	2091	21
990	2092	19
991	2093	16
992	2093	14
993	2094	12
994	2095	10
995	2095	8
996	2096	6
997	2097	4
998	2102	2
999	2104	0
